#        a       HoverH0(a)       dlogHdloga_of_a(a)
   6.2863593E-04   4.3299645E+04   -1.6589924E+00
   6.3153904E-04   4.2969984E+04   -1.6584930E+00
   6.3445555E-04   4.2642931E+04   -1.6579944E+00
   6.3738553E-04   4.2318464E+04   -1.6574967E+00
   6.4032904E-04   4.1996562E+04   -1.6569998E+00
   6.4328615E-04   4.1677205E+04   -1.6565037E+00
   6.4625691E-04   4.1360370E+04   -1.6560086E+00
   6.4924140E-04   4.1046037E+04   -1.6555142E+00
   6.5223966E-04   4.0734186E+04   -1.6550208E+00
   6.5525177E-04   4.0424796E+04   -1.6545281E+00
   6.5827779E-04   4.0117847E+04   -1.6540364E+00
   6.6131779E-04   3.9813319E+04   -1.6535455E+00
   6.6437182E-04   3.9511192E+04   -1.6530555E+00
   6.6743996E-04   3.9211446E+04   -1.6525664E+00
   6.7052227E-04   3.8914061E+04   -1.6520781E+00
   6.7361881E-04   3.8619019E+04   -1.6515908E+00
   6.7672965E-04   3.8326299E+04   -1.6511043E+00
   6.7985486E-04   3.8035884E+04   -1.6506186E+00
   6.8299450E-04   3.7747753E+04   -1.6501339E+00
   6.8614864E-04   3.7461889E+04   -1.6496501E+00
   6.8931735E-04   3.7178272E+04   -1.6491671E+00
   6.9250069E-04   3.6896885E+04   -1.6486851E+00
   6.9569873E-04   3.6617709E+04   -1.6482039E+00
   6.9891154E-04   3.6340725E+04   -1.6477237E+00
   7.0213919E-04   3.6065917E+04   -1.6472444E+00
   7.0538174E-04   3.5793265E+04   -1.6467659E+00
   7.0863927E-04   3.5522753E+04   -1.6462884E+00
   7.1191184E-04   3.5254363E+04   -1.6458118E+00
   7.1519952E-04   3.4988077E+04   -1.6453361E+00
   7.1850239E-04   3.4723879E+04   -1.6448613E+00
   7.2182050E-04   3.4461751E+04   -1.6443874E+00
   7.2515395E-04   3.4201676E+04   -1.6439144E+00
   7.2850278E-04   3.3943638E+04   -1.6434424E+00
   7.3186709E-04   3.3687620E+04   -1.6429713E+00
   7.3524692E-04   3.3433606E+04   -1.6425011E+00
   7.3864237E-04   3.3181578E+04   -1.6420318E+00
   7.4205350E-04   3.2931522E+04   -1.6415635E+00
   7.4548038E-04   3.2683420E+04   -1.6410961E+00
   7.4892309E-04   3.2437258E+04   -1.6406297E+00
   7.5238169E-04   3.2193019E+04   -1.6401642E+00
   7.5585627E-04   3.1950687E+04   -1.6396996E+00
   7.5934689E-04   3.1710247E+04   -1.6392360E+00
   7.6285364E-04   3.1471683E+04   -1.6387733E+00
   7.6637657E-04   3.1234981E+04   -1.6383115E+00
   7.6991578E-04   3.1000125E+04   -1.6378507E+00
   7.7347133E-04   3.0767100E+04   -1.6373909E+00
   7.7704330E-04   3.0535891E+04   -1.6369320E+00
   7.8063177E-04   3.0306484E+04   -1.6364740E+00
   7.8423681E-04   3.0078864E+04   -1.6360170E+00
   7.8785850E-04   2.9853016E+04   -1.6355610E+00
   7.9149691E-04   2.9628927E+04   -1.6351059E+00
   7.9515213E-04   2.9406580E+04   -1.6346518E+00
   7.9882422E-04   2.9185964E+04   -1.6341987E+00
   8.0251328E-04   2.8967063E+04   -1.6337465E+00
   8.0621937E-04   2.8749863E+04   -1.6332953E+00
   8.0994257E-04   2.8534352E+04   -1.6328450E+00
   8.1368297E-04   2.8320514E+04   -1.6323958E+00
   8.1744065E-04   2.8108337E+04   -1.6319475E+00
   8.2121567E-04   2.7897808E+04   -1.6315001E+00
   8.2500813E-04   2.7688912E+04   -1.6310538E+00
   8.2881811E-04   2.7481637E+04   -1.6306084E+00
   8.3264567E-04   2.7275969E+04   -1.6301640E+00
   8.3649092E-04   2.7071896E+04   -1.6297205E+00
   8.4035392E-04   2.6869405E+04   -1.6292781E+00
   8.4423476E-04   2.6668483E+04   -1.6288366E+00
   8.4813353E-04   2.6469117E+04   -1.6283961E+00
   8.5205030E-04   2.6271294E+04   -1.6279566E+00
   8.5598516E-04   2.6075003E+04   -1.6275181E+00
   8.5993818E-04   2.5880230E+04   -1.6270806E+00
   8.6390947E-04   2.5686964E+04   -1.6266440E+00
   8.6789909E-04   2.5495193E+04   -1.6262085E+00
   8.7190714E-04   2.5304904E+04   -1.6257739E+00
   8.7593370E-04   2.5116085E+04   -1.6253404E+00
   8.7997885E-04   2.4928726E+04   -1.6249078E+00
   8.8404269E-04   2.4742813E+04   -1.6244762E+00
   8.8812529E-04   2.4558335E+04   -1.6240456E+00
   8.9222675E-04   2.4375281E+04   -1.6236160E+00
   8.9634714E-04   2.4193640E+04   -1.6231874E+00
   9.0048657E-04   2.4013399E+04   -1.6227598E+00
   9.0464511E-04   2.3834548E+04   -1.6223333E+00
