#        a       HoverH0(a)       dlogHdloga_of_a(a)
   2.7811353E-04   1.7282319E+05   -1.7757124E+00
   2.7939788E-04   1.7141522E+05   -1.7751424E+00
   2.8068817E-04   1.7001917E+05   -1.7745720E+00
   2.8198442E-04   1.6863493E+05   -1.7740015E+00
   2.8328665E-04   1.6726240E+05   -1.7734306E+00
   2.8459490E-04   1.6590148E+05   -1.7728596E+00
   2.8590919E-04   1.6455207E+05   -1.7722882E+00
   2.8722955E-04   1.6321406E+05   -1.7717167E+00
   2.8855600E-04   1.6188736E+05   -1.7711449E+00
   2.8988859E-04   1.6057186E+05   -1.7705729E+00
   2.9122732E-04   1.5926748E+05   -1.7700007E+00
   2.9257224E-04   1.5797410E+05   -1.7694282E+00
   2.9392337E-04   1.5669165E+05   -1.7688556E+00
   2.9528074E-04   1.5542001E+05   -1.7682828E+00
   2.9664438E-04   1.5415910E+05   -1.7677097E+00
   2.9801431E-04   1.5290883E+05   -1.7671365E+00
   2.9939057E-04   1.5166910E+05   -1.7665631E+00
   3.0077319E-04   1.5043981E+05   -1.7659895E+00
   3.0216219E-04   1.4922088E+05   -1.7654158E+00
   3.0355761E-04   1.4801222E+05   -1.7648419E+00
   3.0495947E-04   1.4681374E+05   -1.7642678E+00
   3.0636780E-04   1.4562535E+05   -1.7636936E+00
   3.0778264E-04   1.4444696E+05   -1.7631192E+00
   3.0920401E-04   1.4327848E+05   -1.7625447E+00
   3.1063195E-04   1.4211984E+05   -1.7619701E+00
   3.1206648E-04   1.4097093E+05   -1.7613953E+00
   3.1350764E-04   1.3983168E+05   -1.7608204E+00
   3.1495545E-04   1.3870201E+05   -1.7602454E+00
   3.1640994E-04   1.3758183E+05   -1.7596703E+00
   3.1787116E-04   1.3647106E+05   -1.7590951E+00
   3.1933912E-04   1.3536961E+05   -1.7585198E+00
   3.2081386E-04   1.3427741E+05   -1.7579443E+00
   3.2229541E-04   1.3319438E+05   -1.7573689E+00
   3.2378381E-04   1.3212043E+05   -1.7567933E+00
   3.2527908E-04   1.3105549E+05   -1.7562176E+00
   3.2678125E-04   1.2999947E+05   -1.7556419E+00
   3.2829036E-04   1.2895231E+05   -1.7550662E+00
   3.2980644E-04   1.2791392E+05   -1.7544904E+00
   3.3132952E-04   1.2688423E+05   -1.7539145E+00
   3.3285963E-04   1.2586316E+05   -1.7533386E+00
   3.3439681E-04   1.2485064E+05   -1.7527626E+00
   3.3594109E-04   1.2384660E+05   -1.7521866E+00
   3.3749250E-04   1.2285095E+05   -1.7516106E+00
   3.3905108E-04   1.2186364E+05   -1.7510346E+00
   3.4061685E-04   1.2088458E+05   -1.7504586E+00
   3.4218986E-04   1.1991370E+05   -1.7498825E+00
   3.4377013E-04   1.1895094E+05   -1.7493065E+00
   3.4535769E-04   1.1799622E+05   -1.7487305E+00
   3.4695259E-04   1.1704947E+05   -1.7481545E+00
   3.4855485E-04   1.1611062E+05   -1.7475785E+00
   3.5016452E-04   1.1517962E+05   -1.7470025E+00
   3.5178161E-04   1.1425638E+05   -1.7464265E+00
   3.5340618E-04   1.1334084E+05   -1.7458506E+00
   3.5503824E-04   1.1243294E+05   -1.7452748E+00
   3.5667785E-04   1.1153260E+05   -1.7446990E+00
   3.5832502E-04   1.1063977E+05   -1.7441232E+00
   3.5997981E-04   1.0975438E+05   -1.7435475E+00
   3.6164223E-04   1.0887636E+05   -1.7429719E+00
   3.6331233E-04   1.0800565E+05   -1.7423963E+00
   3.6499015E-04   1.0714219E+05   -1.7418208E+00
   3.6667571E-04   1.0628591E+05   -1.7412455E+00
   3.6836906E-04   1.0543676E+05   -1.7406702E+00
   3.7007022E-04   1.0459467E+05   -1.7400950E+00
   3.7177925E-04   1.0375958E+05   -1.7395199E+00
   3.7349616E-04   1.0293143E+05   -1.7389449E+00
   3.7522101E-04   1.0211015E+05   -1.7383700E+00
   3.7695382E-04   1.0129570E+05   -1.7377953E+00
   3.7869463E-04   1.0048802E+05   -1.7372206E+00
   3.8044348E-04   9.9687033E+04   -1.7366462E+00
   3.8220041E-04   9.8892696E+04   -1.7360718E+00
   3.8396545E-04   9.8104948E+04   -1.7354976E+00
   3.8573864E-04   9.7323732E+04   -1.7349236E+00
   3.8752002E-04   9.6548992E+04   -1.7343497E+00
   3.8930963E-04   9.5780673E+04   -1.7337760E+00
   3.9110750E-04   9.5018719E+04   -1.7332024E+00
   3.9291368E-04   9.4263076E+04   -1.7326291E+00
   3.9472820E-04   9.3513689E+04   -1.7320559E+00
   3.9655109E-04   9.2770504E+04   -1.7314829E+00
   3.9838241E-04   9.2033469E+04   -1.7309101E+00
   4.0022218E-04   9.1302530E+04   -1.7303375E+00
   4.0207045E-04   9.0577635E+04   -1.7297651E+00
   4.0392725E-04   8.9858733E+04   -1.7291929E+00
   4.0579263E-04   8.9145772E+04   -1.7286209E+00
   4.0766662E-04   8.8438700E+04   -1.7280492E+00
   4.0954927E-04   8.7737467E+04   -1.7274776E+00
   4.1144061E-04   8.7042024E+04   -1.7269064E+00
   4.1334068E-04   8.6352321E+04   -1.7263353E+00
   4.1524953E-04   8.5668307E+04   -1.7257645E+00
   4.1716720E-04   8.4989936E+04   -1.7251940E+00
   4.1909372E-04   8.4317158E+04   -1.7246237E+00
   4.2102914E-04   8.3649925E+04   -1.7240537E+00
   4.2297350E-04   8.2988190E+04   -1.7234840E+00
   4.2492683E-04   8.2331906E+04   -1.7229145E+00
   4.2688919E-04   8.1681026E+04   -1.7223454E+00
   4.2886061E-04   8.1035505E+04   -1.7217765E+00
   4.3084113E-04   8.0395296E+04   -1.7212079E+00
   4.3283080E-04   7.9760353E+04   -1.7206396E+00
   4.3482966E-04   7.9130632E+04   -1.7200716E+00
   4.3683775E-04   7.8506088E+04   -1.7195039E+00
   4.3885511E-04   7.7886678E+04   -1.7189366E+00
   4.4088179E-04   7.7272356E+04   -1.7183696E+00
   4.4291783E-04   7.6663080E+04   -1.7178029E+00
   4.4496327E-04   7.6058806E+04   -1.7172365E+00
   4.4701816E-04   7.5459492E+04   -1.7166705E+00
   4.4908253E-04   7.4865096E+04   -1.7161048E+00
   4.5115644E-04   7.4275575E+04   -1.7155395E+00
   4.5323993E-04   7.3690889E+04   -1.7149745E+00
   4.5533304E-04   7.3110995E+04   -1.7144099E+00
   4.5743582E-04   7.2535854E+04   -1.7138456E+00
   4.5954830E-04   7.1965423E+04   -1.7132818E+00
   4.6167054E-04   7.1399664E+04   -1.7127183E+00
   4.6380259E-04   7.0838537E+04   -1.7121552E+00
   4.6594448E-04   7.0282002E+04   -1.7115925E+00
   4.6809626E-04   6.9730020E+04   -1.7110302E+00
   4.7025797E-04   6.9182552E+04   -1.7104683E+00
   4.7242967E-04   6.8639560E+04   -1.7099068E+00
   4.7461140E-04   6.8101006E+04   -1.7093457E+00
   4.7680321E-04   6.7566852E+04   -1.7087851E+00
   4.7900514E-04   6.7037061E+04   -1.7082248E+00
   4.8121723E-04   6.6511596E+04   -1.7076650E+00
   4.8343954E-04   6.5990420E+04   -1.7071056E+00
   4.8567212E-04   6.5473496E+04   -1.7065467E+00
   4.8791500E-04   6.4960789E+04   -1.7059882E+00
   4.9016825E-04   6.4452262E+04   -1.7054302E+00
   4.9243189E-04   6.3947881E+04   -1.7048726E+00
   4.9470600E-04   6.3447610E+04   -1.7043155E+00
   4.9699060E-04   6.2951413E+04   -1.7037589E+00
   4.9928575E-04   6.2459258E+04   -1.7032027E+00
   5.0159151E-04   6.1971109E+04   -1.7026470E+00
   5.0390791E-04   6.1486932E+04   -1.7020918E+00
   5.0623501E-04   6.1006694E+04   -1.7015371E+00
   5.0857286E-04   6.0530362E+04   -1.7009828E+00
   5.1092150E-04   6.0057902E+04   -1.7004291E+00
   5.1328099E-04   5.9589282E+04   -1.6998759E+00
   5.1565137E-04   5.9124469E+04   -1.6993232E+00
   5.1803270E-04   5.8663431E+04   -1.6987710E+00
   5.2042503E-04   5.8206136E+04   -1.6982193E+00
   5.2282841E-04   5.7752552E+04   -1.6976681E+00
   5.2524289E-04   5.7302649E+04   -1.6971175E+00
   5.2766851E-04   5.6856395E+04   -1.6965674E+00
   5.3010534E-04   5.6413758E+04   -1.6960179E+00
   5.3255342E-04   5.5974710E+04   -1.6954689E+00
   5.3501281E-04   5.5539219E+04   -1.6949204E+00
   5.3748356E-04   5.5107255E+04   -1.6943725E+00
   5.3996571E-04   5.4678788E+04   -1.6938252E+00
   5.4245933E-04   5.4253790E+04   -1.6932784E+00
   5.4496446E-04   5.3832231E+04   -1.6927322E+00
   5.4748117E-04   5.3414082E+04   -1.6921866E+00
   5.5000949E-04   5.2999314E+04   -1.6916415E+00
   5.5254949E-04   5.2587899E+04   -1.6910971E+00
   5.5510123E-04   5.2179808E+04   -1.6905532E+00
   5.5766474E-04   5.1775014E+04   -1.6900099E+00
   5.6024010E-04   5.1373488E+04   -1.6894672E+00
   5.6282734E-04   5.0975204E+04   -1.6889251E+00
   5.6542654E-04   5.0580134E+04   -1.6883837E+00
   5.6803774E-04   5.0188251E+04   -1.6878428E+00
   5.7066099E-04   4.9799528E+04   -1.6873026E+00
   5.7329637E-04   4.9413939E+04   -1.6867630E+00
   5.7594391E-04   4.9031457E+04   -1.6862240E+00
   5.7860368E-04   4.8652056E+04   -1.6856856E+00
   5.8127573E-04   4.8275711E+04   -1.6851479E+00
   5.8396012E-04   4.7902396E+04   -1.6846108E+00
   5.8665691E-04   4.7532085E+04   -1.6840744E+00
   5.8936616E-04   4.7164754E+04   -1.6835386E+00
   5.9208791E-04   4.6800376E+04   -1.6830035E+00
   5.9482223E-04   4.6438928E+04   -1.6824690E+00
   5.9756919E-04   4.6080385E+04   -1.6819352E+00
   6.0032882E-04   4.5724723E+04   -1.6814021E+00
   6.0310120E-04   4.5371917E+04   -1.6808696E+00
   6.0588639E-04   4.5021944E+04   -1.6803378E+00
   6.0868443E-04   4.4674779E+04   -1.6798067E+00
   6.1149540E-04   4.4330400E+04   -1.6792763E+00
   6.1431935E-04   4.3988783E+04   -1.6787465E+00
   6.1715634E-04   4.3649905E+04   -1.6782175E+00
   6.2000644E-04   4.3313744E+04   -1.6776891E+00
   6.2286969E-04   4.2980275E+04   -1.6771615E+00
   6.2574617E-04   4.2649478E+04   -1.6766346E+00
   6.2863593E-04   4.2321329E+04   -1.6761083E+00
   6.3153904E-04   4.1995807E+04   -1.6755828E+00
   6.3445555E-04   4.1672890E+04   -1.6750580E+00
   6.3738553E-04   4.1352555E+04   -1.6745340E+00
   6.4032904E-04   4.1034782E+04   -1.6740106E+00
   6.4328615E-04   4.0719548E+04   -1.6734880E+00
   6.4625691E-04   4.0406834E+04   -1.6729661E+00
   6.4924140E-04   4.0096618E+04   -1.6724450E+00
